scenario_name,wheel_radius_m,wheel_width_m,grouser_height_m,grouser_count,n_wheels,chassis_mass_kg,wheelbase_m,solar_area_m2,battery_capacity_wh,avionics_power_w,peak_wheel_torque_nm,range_km,energy_margin_raw_pct,slope_capability_deg,total_mass_kg,backend_used
equatorial_mare_traverse,0.19999598485944078,0.031352370477036484,0.019999899610499843,24,4,31.801058587745423,1.1592609781203953,0.2607407943847991,112.91301986422458,12.426190296256873,3.7894169032604808,80.0,106.44148980760735,34.79000954332019,56.73314813917934,evaluator
equatorial_mare_traverse,0.1999924630131505,0.030080188521566496,0.019997116285246683,24,4,23.65161098175046,1.1590747848539726,0.11803854509532502,9.272117925060362,21.475899104312607,12.025392820454472,7.225516737019425,1.2090205821986955,34.77583900262061,48.993716980704804,evaluator
equatorial_mare_traverse,0.1940219996047441,0.03001453736757076,0.019999239363036325,23,4,0.6889691113916081,1.1931852612165084,0.11453818854560119,5.856751391770558,5.230109390120569,0.804434697658631,80.0,128.50446693168408,32.27630118202843,10.411212400183771,evaluator
equatorial_mare_traverse,0.19748992951674915,0.03001453736757076,0.019999239363036325,23,4,0.6889691113916081,1.1931852612165084,0.11453818854560119,5.856751391770558,5.230109390120569,0.804434697658631,80.0,108.96544132032106,32.33515346640756,10.43969149048415,evaluator
equatorial_mare_traverse,0.19999086510281094,0.030002263816446995,0.019994137421847778,24,4,0.554007805273133,1.1590611392941725,0.19752989472893082,15.359464658199729,23.5899129088125,1.1936365535471278,80.0,47.105863293574785,33.01371104051367,12.14441520399664,evaluator
equatorial_mare_traverse,0.1999530813516207,0.03005284847697387,0.019994484849231765,24,4,10.612972471397619,1.164434511599942,0.12887947664167365,225.04893303422267,22.65521537137195,16.068866013170997,47.42814656695149,2.3744081246563797,34.62518074599219,36.01345033011036,evaluator
equatorial_mare_traverse,0.19998993869130977,0.03000218480267604,0.019994142455061745,24,4,0.5214084812114885,1.164434511599942,0.23733397008834642,43.167708929300126,9.244585379317867,1.0573226020721274,80.0,224.16507160727082,32.90010084041673,11.50054556691601,evaluator
equatorial_mare_traverse,0.19999408014371314,0.030087047299358745,0.01999707289879826,24,4,0.7095032641417114,1.1754236816056367,0.13102486191155172,20.857209999857517,21.16220687043646,3.7437297726616476,80.0,7.141839539588081,33.21220207404286,13.420917194195187,evaluator
equatorial_mare_traverse,0.19999438226431768,0.03008589865383293,0.01999707289879826,24,4,15.634288807775258,1.1590611392941725,0.13158686367253503,18.57940249799106,23.722943901081536,11.175023672731845,28.972214651743663,2.2622430339749116,34.66279158714367,37.92580482829802,evaluator
equatorial_mare_traverse,0.19998985045404857,0.03000041363925115,0.019996981224661835,24,4,0.6880444478624768,1.1945202277364024,0.11453818854560119,7.355504912666502,5.230109390120569,0.804434697658631,80.0,108.3273508715812,32.70501941075709,10.492582714824753,evaluator
equatorial_mare_traverse,0.19999408767701526,0.03003616637156646,0.019994529850157913,24,4,0.5532915013053348,1.19277432056338,0.11816079664171614,283.4304950347859,21.36687899051761,1.766620408262341,41.173745663272584,1.1642682653787526,33.43900599470883,15.07635169341468,evaluator
equatorial_mare_traverse,0.19994513031474043,0.03007465863400159,0.01999983431124519,24,4,8.632468881697779,1.1924672917866128,0.12887947664167365,120.02002600550546,22.90056713458413,13.896130251969137,46.97173694620501,2.3028466048378085,34.495148161440945,30.96293233518125,evaluator
equatorial_mare_traverse,0.19999411930369282,0.03007512917770391,0.019994393158041947,24,4,1.8596750132789142,1.1692791070730675,0.11835542130135036,18.644715656571123,21.479011819923926,3.4885676869087026,31.10955972056116,1.2959441254136574,33.40177230332017,14.799668560396105,evaluator
equatorial_mare_traverse,0.19987362142316514,0.030039118410615857,0.01999983431124519,24,4,8.121581195685799,1.1689861411192441,0.12887947664167365,300.7672185715498,22.65521537137195,1.1361021511605784,76.890014378963,2.2489107934459045,34.2683436696921,25.35212389634881,evaluator
equatorial_mare_traverse,0.1999922594295445,0.030052873146409736,0.019997039577300507,24,4,2.126204876591787,1.166806284797982,0.11815986225295891,54.20436027031366,21.359898028561553,3.469007894527009,34.78643228486969,1.3578209476551626,33.49604870720982,15.544701246042537,evaluator
equatorial_mare_traverse,0.19994591238005982,0.030038299943592205,0.019999790969838737,24,4,9.102005095466897,1.168424067137346,0.12887947664167365,15.967936892119091,22.651745024392675,1.282333715060063,63.11886429988471,2.92052992908266,34.17087626089043,23.536558435170786,evaluator
equatorial_mare_traverse,0.19999101098598634,0.030069230913415356,0.019993080233712462,24,4,9.497159149380785,1.1603035302179976,0.12887947664167365,312.2710581175272,23.6262524281222,5.879903059312982,26.69923314865374,1.29099125519375,34.461510978537056,30.00557308782625,evaluator
equatorial_mare_traverse,0.19999990266228818,0.030085222463695264,0.019999142797744705,24,4,8.78501744709557,1.1672655801626841,0.11803854509532502,9.272117925060362,21.475899104312607,13.354839533279394,12.70604845194029,1.2090205821986955,34.44525875867599,29.487351646514686,evaluator
equatorial_mare_traverse,0.1989076400606402,0.03005803648624305,0.019997039577300507,24,4,0.7736392087012285,1.1667734136566577,0.20106377811973153,65.17251251936564,21.373107988450855,3.4728750172950553,80.0,59.296525986580775,33.29628937540488,14.10498703763114,evaluator
equatorial_mare_traverse,0.19999595447036272,0.031283828081112464,0.019994531638559795,24,4,29.593568893010683,1.168781589564763,0.12887947664167365,49.047342179080914,22.65521537137195,5.925248635635326,29.65519734284686,2.770841631197984,34.78618440499027,54.410089565899,evaluator
equatorial_mare_traverse,0.19999408767701526,0.030075634717537884,0.01999698343978885,24,4,27.641301945370685,1.1921108999005392,0.11815986225295891,300.7703164359152,19.068869979818544,1.6578991422897844,64.61261933645365,3.4828207383306484,34.78472556207407,51.921579447427554,evaluator
equatorial_mare_traverse,0.1999924630131505,0.030078990359084238,0.019997116285246683,24,4,0.7764627586731949,1.1590747848539726,0.11803854509532502,13.687997474662119,21.475899104312607,12.019108754843186,20.592415736119964,1.204426433241594,33.74675107456544,17.911788345877298,evaluator
equatorial_mare_traverse,0.19998985045404857,0.030001347746520458,0.019997205739986458,24,4,0.6880444478624768,1.1931852612165084,0.11453818854560119,7.355504912666502,5.230109390120569,0.804434697658631,80.0,108.32720673180269,32.70505904120775,10.492651756315542,evaluator
equatorial_mare_traverse,0.199999815147286,0.030035437737619,0.01999699371555743,24,4,2.2438104235059972,1.1921108999005392,0.11815756800439925,293.6919693408269,20.798515018382716,1.6578991422897844,70.63960823923072,1.7426391635346534,33.69875645953438,17.39536245792002,evaluator
equatorial_mare_traverse,0.1999922558051967,0.03003589057774391,0.01999983431124519,24,4,23.828903878523835,1.1318851377292227,0.1244704977095032,346.4600971303995,23.002364333853855,4.347810085020643,7.500865663567375,0.9227964477254038,34.7771928427653,49.00237625262117,evaluator
equatorial_mare_traverse,0.1999450731474456,0.03003922198086855,0.019994484849231765,24,4,8.24223531940825,1.164434511599942,0.12887947664167365,225.04893303422267,22.65521537137195,16.496728700057602,52.91122474681065,2.3744081246563797,34.55436442162531,33.01924193199801,evaluator
equatorial_mare_traverse,0.1999924630131505,0.030078990359084238,0.019997086330766096,24,4,0.7764627586731949,1.1590747848539726,0.12908668142264162,228.32857466962423,21.475899104312607,12.132043396845635,80.0,3.6025040345937414,33.96231323734991,20.444870199787808,evaluator
equatorial_mare_traverse,0.19893797157636733,0.030025355157128845,0.019997039577300507,24,4,0.7736392087012285,1.1586503463187612,0.11828153183047535,300.7703164359152,21.407209326634874,3.4847377280182115,36.37816464983841,1.1443532747054512,33.591431886747415,16.501827860933343,evaluator
equatorial_mare_traverse,0.1999524150511517,0.03005284847697387,0.019994484849231765,24,4,28.84441702518965,1.1689854973090361,0.12887947664167365,235.0260580564486,22.65521537137195,5.795399294178753,33.51807164291019,2.3564610767575584,34.785218589316024,55.34388179345062,evaluator
equatorial_mare_traverse,0.19994215129612275,0.03052302293776347,0.019999696308441346,24,4,24.55514441874812,1.1989266911992453,0.12177554423980255,21.918912452340372,9.38970911401966,2.032381376286482,80.0,27.98636978569119,34.739226815065614,44.147746619501945,evaluator
equatorial_mare_traverse,0.1999878032586676,0.030077923859135186,0.01999970587526226,24,4,4.733796103233718,1.193544486795917,0.16255706344431992,301.3988184452888,17.01673564933247,2.9490888816590997,80.0,41.2738411244258,34.03790092178819,21.470568767880465,evaluator
equatorial_mare_traverse,0.1999450731474456,0.030037115329692065,0.01999983431124519,24,4,8.632468881697779,1.1689861411192441,0.12887947664167365,312.2710581175272,22.65521537137195,1.1672241068936149,74.11070898987126,2.2131109070470294,34.31047221245732,26.19518311294609,evaluator
equatorial_mare_traverse,0.1989076400606402,0.030015201646398544,0.019997039577300507,24,4,0.7736392087012285,1.166806284797982,0.11828153183047535,300.7703164359152,21.395904580812754,3.4728750172950553,37.175376388793474,1.1559942886910075,33.59066386387051,16.49365659104361,evaluator
equatorial_mare_traverse,0.19988020015852134,0.030036199546672544,0.01999454013624285,24,4,15.893679695339312,1.192239277993305,0.23615923380157522,131.75263436557685,23.065324799673956,13.607981785666047,80.0,50.47750177887931,34.70987767433634,41.193074336017766,evaluator
equatorial_mare_traverse,0.19999408767701526,0.030039104253295,0.019999324725103698,24,4,26.20872104759609,1.1987859998378068,0.11853019542579714,300.7703164359152,18.73762547410835,1.66254514930707,69.56145684332287,3.881219028735203,34.78060055690631,49.95090963982229,evaluator
equatorial_mare_traverse,0.19998731414411974,0.030078974331014023,0.01999708944483281,24,4,15.893679695339312,1.192239277993305,0.23975991987774514,17.82920726829132,23.065324799673956,13.39963112905479,80.0,54.40229812658143,34.692987262983266,39.80390100578258,evaluator
equatorial_mare_traverse,0.19994834436315143,0.030038299943592205,0.019999641194035217,24,4,9.102005095466897,1.167699829413123,0.12887947664167365,15.367178662978944,23.742749850791366,12.58592357325364,18.98433867551716,1.4255803255981339,34.45575786597001,29.756764650648535,evaluator
equatorial_mare_traverse,0.19999086510281094,0.030002263816446995,0.019994137421847778,24,4,0.7559567999100025,1.1590611392941725,0.19752989472893082,15.359464658199729,23.5899129088125,12.622686140545824,80.0,42.21290643747968,33.816448001551755,18.640287667093624,evaluator
equatorial_mare_traverse,0.19999610479680835,0.030037115329692065,0.019999898890784604,24,4,9.013881367220872,1.1689950118639454,0.12887947664167365,312.2710581175272,23.053778643632914,1.152841453529647,54.99390447234625,1.8364962696841434,34.33601840949515,26.733919464579213,evaluator
equatorial_mare_traverse,0.19987362142316514,0.030026218786827246,0.01999983431124519,24,4,8.121581195685799,1.1689861411192441,0.12887947664167365,21.929316684262375,23.068301776520588,1.1280227715077924,50.913741933331416,2.3357914442248227,34.08860627091869,22.21292328918288,evaluator
equatorial_mare_traverse,0.19999408767701526,0.030039793337845237,0.019994423775553088,24,4,27.641301945370685,1.1980794905264507,0.11853019542579714,300.7703164359152,19.068869979818544,1.6578991422897844,66.55842019880744,3.5569134965053943,34.78375090910214,51.920318258078616,evaluator
equatorial_mare_traverse,0.19994538604419443,0.030049745166216505,0.019997071726423808,24,4,14.513529033974919,1.0672829029330075,0.2349877648618659,324.92628311375086,15.723091749557092,1.3108939613226651,80.0,91.43829292576532,34.58804725782919,34.3099742283755,evaluator
equatorial_mare_traverse,0.1999878032586676,0.03007669053317299,0.019999711189036352,24,4,3.2657420726795756,1.1931716772194132,0.2197571027897966,301.3774367923718,17.01673564933247,2.9490888816590997,80.0,90.89870577561904,33.90225935031223,19.667108136560962,evaluator
equatorial_mare_traverse,0.19987457906371014,0.030077434094221367,0.019997116285246683,24,4,24.01560165823536,1.1678342868854652,0.2401565295857519,66.99287627531794,20.41627081642343,4.3780917946071,80.0,60.87294267734221,34.75931951780187,46.323198590792714,evaluator
equatorial_mare_traverse,0.19999396746647827,0.030080921018888884,0.019996996703072534,24,4,8.78501744709557,1.1686040037473049,0.11804083934388468,6.248921210452064,21.369706722047777,12.611504003092588,16.370407123716813,1.3771353351788,34.42806634478907,29.040848221444236,evaluator
equatorial_mare_traverse,0.19991153942580972,0.03005284847697387,0.019994484849231765,24,4,8.572823869778444,1.1665457490290823,0.12386193172599821,69.92764473351083,22.643910625549832,3.95141627411809,23.393200128439705,1.3237302519863885,34.24119662223511,24.86419001589595,evaluator
